Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season
I1,2014-10-20,Genoa,Empoli,1.0,1.0,D,13.0,9.0,3.0,4.0,16.0,13.0,10.0,4.0,3.0,1.0,0.0,0.0,2.1,3.3,3.5,2.12,3.26,4.15,2.15,3.35,4.2,2.09,3.23,3.73,46.0,2014/2015
I1,2014-10-25,Parma,Sassuolo,1.0,3.0,A,11.0,8.0,4.0,3.0,19.0,16.0,7.0,3.0,4.0,2.0,0.0,0.0,1.73,3.6,4.75,1.77,3.78,5.26,1.81,3.8,5.5,1.76,3.57,4.9,45.0,2014/2015
I1,2014-10-25,Sampdoria,Roma,0.0,0.0,D,9.0,20.0,2.0,4.0,14.0,12.0,6.0,14.0,2.0,3.0,0.0,0.0,3.6,3.5,2.0,4.22,3.4,2.04,4.45,3.5,2.1,3.97,3.32,2.0,45.0,2014/2015
I1,2014-10-25,Empoli,Cagliari,0.0,4.0,A,9.0,15.0,5.0,6.0,10.0,23.0,6.0,6.0,2.0,2.0,0.0,0.0,2.0,3.4,3.75,2.09,3.47,3.94,2.15,3.55,4.0,2.08,3.35,3.64,45.0,2014/2015
I1,2014-10-26,Cesena,Inter Milan,0.0,1.0,A,8.0,18.0,2.0,6.0,20.0,15.0,2.0,3.0,5.0,1.0,1.0,0.0,6.5,3.6,1.57,7.15,3.93,1.6,7.5,3.95,1.75,6.25,3.69,1.61,45.0,2014/2015
I1,2014-10-26,Chievo,Genoa,1.0,2.0,A,13.0,13.0,5.0,4.0,23.0,22.0,4.0,7.0,2.0,3.0,1.0,0.0,2.38,3.1,3.1,2.46,3.13,3.39,2.55,3.25,3.39,2.44,3.1,3.1,45.0,2014/2015
I1,2014-10-26,Juventus,Palermo,2.0,0.0,H,20.0,6.0,5.0,1.0,8.0,10.0,6.0,1.0,2.0,1.0,0.0,0.0,1.22,5.5,15.0,1.22,6.92,18.85,1.25,7.0,19.0,1.21,6.19,14.79,45.0,2014/2015
I1,2014-10-26,Lazio,Torino,2.0,1.0,H,12.0,15.0,7.0,4.0,13.0,9.0,3.0,6.0,2.0,1.0,0.0,0.0,1.75,3.5,4.75,1.77,3.66,5.5,1.83,3.7,5.4,1.78,3.5,4.9,44.0,2014/2015
I1,2014-10-26,Milan,Fiorentina,1.0,1.0,D,15.0,12.0,2.0,2.0,13.0,13.0,5.0,4.0,2.0,2.0,0.0,0.0,2.05,3.4,3.6,2.05,3.51,4.04,2.1,3.6,4.2,2.03,3.37,3.76,45.0,2014/2015
I1,2014-10-26,Napoli,Verona,6.0,2.0,H,26.0,8.0,16.0,6.0,11.0,7.0,14.0,3.0,1.0,1.0,0.0,0.0,1.4,4.5,8.0,1.45,4.73,8.38,1.5,4.9,9.0,1.43,4.45,7.63,45.0,2014/2015
I1,2014-10-26,Udinese,Atalanta,2.0,0.0,H,15.0,14.0,4.0,3.0,16.0,15.0,5.0,7.0,2.0,1.0,0.0,0.0,1.91,3.4,4.0,1.89,3.53,4.82,1.91,3.6,5.0,1.86,3.38,4.55,45.0,2014/2015
I1,2014-10-28,Sassuolo,Empoli,3.0,1.0,H,23.0,16.0,6.0,6.0,9.0,12.0,6.0,3.0,2.0,3.0,0.0,0.0,2.2,3.25,3.3,2.22,3.33,3.7,2.25,3.45,3.8,2.19,3.25,3.48,46.0,2014/2015
I1,2014-10-29,Fiorentina,Udinese,3.0,0.0,H,27.0,5.0,9.0,1.0,15.0,14.0,4.0,2.0,2.0,3.0,0.0,0.0,1.65,3.6,5.5,1.72,3.69,5.96,1.8,3.75,6.0,1.7,3.57,5.33,46.0,2014/2015
I1,2014-10-29,Genoa,Juventus,1.0,0.0,H,4.0,16.0,3.0,4.0,22.0,17.0,1.0,13.0,2.0,4.0,0.0,0.0,7.0,4.0,1.5,8.39,4.11,1.52,8.5,4.25,1.55,7.56,3.9,1.5,46.0,2014/2015
I1,2014-10-29,Cagliari,Milan,1.0,1.0,D,16.0,13.0,5.0,3.0,13.0,13.0,6.0,4.0,3.0,2.0,0.0,0.0,3.4,3.4,2.1,3.47,3.51,2.24,3.75,3.6,2.24,3.4,3.42,2.13,46.0,2014/2015
I1,2014-10-29,Atalanta,Napoli,1.0,1.0,D,7.0,18.0,2.0,6.0,18.0,12.0,4.0,5.0,3.0,2.0,1.0,0.0,4.0,3.4,1.91,4.23,3.68,1.95,4.5,3.7,1.96,4.11,3.47,1.91,46.0,2014/2015
