Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season
D1,2014-11-02,Paderborn,Hertha,3,1,H,18,10,6,4,14,27,6,1,0,2,0,0,2.5,3.5,2.63,2.62,3.49,2.84,2.7,3.5,2.9,2.61,3.35,2.69,45.0,2014/2015
D1,2014-11-02,FC Koln,Freiburg,0,1,A,10,8,3,3,5,12,5,2,1,3,0,0,1.91,3.6,3.8,1.94,3.6,4.39,1.95,3.7,4.6,1.89,3.47,4.15,45.0,2014/2015
D1,2014-11-07,Hertha,Hannover,0,2,A,7,12,1,5,24,22,4,7,3,2,0,0,2.05,3.4,3.5,2.11,3.57,3.75,2.16,3.58,3.8,2.07,3.41,3.64,43.0,2014/2015
D1,2014-11-08,Augsburg,Paderborn,3,0,H,11,16,4,3,16,13,3,6,2,3,0,0,1.73,3.8,4.5,1.79,3.81,5.04,1.85,3.82,5.0,1.78,3.63,4.66,43.0,2014/2015
D1,2014-11-08,Ein Frankfurt,Bayern Munich,0,4,A,6,19,2,9,21,15,4,8,2,1,0,0,13.0,7.0,1.18,14.15,7.05,1.24,15.5,7.6,1.26,13.06,6.77,1.21,43.0,2014/2015
D1,2014-11-08,Freiburg,Schalke 04,2,0,H,19,11,9,4,13,13,3,1,1,3,0,0,2.63,3.5,2.5,2.84,3.43,2.66,2.9,3.5,2.68,2.78,3.34,2.54,43.0,2014/2015
D1,2014-11-08,Hoffenheim,FC Koln,3,4,A,22,11,6,7,15,12,7,4,1,2,0,0,1.8,3.8,4.0,1.85,3.74,4.67,1.9,3.85,4.75,1.82,3.64,4.38,43.0,2014/2015
D1,2014-11-08,Leverkusen,Mainz,0,0,D,24,6,6,1,17,20,13,0,1,3,0,0,1.5,4.33,6.0,1.5,4.75,6.92,1.55,4.76,7.04,1.5,4.39,6.39,43.0,2014/2015
D1,2014-11-08,Werder Bremen,Stuttgart,2,0,H,12,8,4,1,13,13,4,4,1,1,0,0,2.63,3.3,2.63,2.63,3.73,2.68,2.7,3.78,2.8,2.6,3.45,2.64,42.0,2014/2015
D1,2014-11-09,Dortmund,M'gladbach,1,0,H,22,1,6,0,7,11,7,0,3,2,0,0,1.57,4.33,5.0,1.61,4.44,5.75,1.7,4.45,5.8,1.6,4.19,5.3,42.0,2014/2015
D1,2014-11-09,Wolfsburg,Hamburg,2,0,H,13,10,5,2,12,14,2,1,2,3,0,0,1.57,4.2,5.25,1.63,4.33,5.71,1.7,4.33,6.0,1.61,4.03,5.42,43.0,2014/2015
D1,2014-11-22,Bayern Munich,Hoffenheim,4,0,H,17,11,9,5,16,17,9,5,2,2,0,1,1.14,8.0,15.0,1.17,9.04,17.4,1.19,9.1,19.0,1.15,8.14,15.62,46.0,2014/2015
D1,2014-11-22,FC Koln,Hertha,1,2,A,12,10,2,6,11,14,3,5,0,3,0,0,2.1,3.3,3.5,2.22,3.37,3.65,2.25,3.5,3.75,2.16,3.29,3.48,46.0,2014/2015
D1,2014-11-22,Hannover,Leverkusen,1,3,A,10,20,5,4,16,16,2,3,3,1,0,0,3.8,3.6,1.91,4.17,3.73,1.95,4.17,3.73,2.1,3.86,3.52,1.96,46.0,2014/2015
D1,2014-11-22,Mainz,Freiburg,2,2,D,11,10,2,3,15,13,9,3,0,1,0,0,2.15,3.3,3.4,2.17,3.49,3.66,2.2,3.6,3.66,2.12,3.36,3.49,46.0,2014/2015
D1,2014-11-22,M'gladbach,Ein Frankfurt,1,3,A,9,25,3,13,10,16,8,11,1,3,1,0,1.36,5.0,7.5,1.4,5.34,8.39,1.52,5.34,8.39,1.41,4.81,7.34,45.0,2014/2015
D1,2014-11-22,Paderborn,Dortmund,2,2,D,8,13,4,5,15,11,1,6,3,1,0,0,7.0,4.75,1.4,7.65,5.07,1.44,8.0,5.08,1.48,7.03,4.74,1.43,46.0,2014/2015
D1,2014-11-22,Schalke 04,Wolfsburg,3,2,H,9,17,6,2,10,16,2,7,1,1,0,0,3.0,3.4,2.3,3.21,3.61,2.27,3.21,3.6,2.5,3.03,3.43,2.31,46.0,2014/2015
D1,2014-11-23,Hamburg,Werder Bremen,2,0,H,14,12,5,7,24,20,6,5,4,3,0,1,1.91,3.6,3.75,1.9,3.81,4.32,2.1,3.85,4.33,1.91,3.56,3.98,46.0,2014/2015
D1,2014-11-23,Stuttgart,Augsburg,0,1,A,9,17,1,6,14,23,6,3,2,3,1,0,2.38,3.5,2.8,2.53,3.49,2.96,2.6,3.55,3.0,2.46,3.35,2.86,46.0,2014/2015
D1,2014-11-28,Freiburg,Stuttgart,1,4,A,16,18,6,9,12,13,9,7,2,1,1,0,2.25,3.4,3.1,2.43,3.55,3.06,2.43,3.55,3.3,2.34,3.4,3.04,45.0,2014/2015
D1,2014-11-29,Augsburg,Hamburg,3,1,H,13,9,8,3,13,23,4,4,1,4,0,0,2.0,3.5,3.75,2.03,3.54,4.08,2.06,3.8,4.1,1.99,3.43,3.83,45.0,2014/2015
D1,2014-11-29,Hertha,Bayern Munich,0,1,A,4,15,1,5,17,8,2,3,1,0,0,0,15.0,7.5,1.18,18.1,8.0,1.19,19.0,8.0,1.22,15.59,7.09,1.18,45.0,2014/2015
D1,2014-11-29,Hoffenheim,Hannover,4,3,H,16,13,7,5,14,28,5,3,1,4,0,0,1.7,4.0,4.75,1.75,4.09,4.93,1.85,4.2,5.21,1.72,3.86,4.7,44.0,2014/2015
D1,2014-11-29,Leverkusen,FC Koln,5,1,H,25,5,10,1,15,9,7,3,1,2,0,0,1.5,4.33,6.5,1.53,4.45,7.08,1.6,4.55,7.5,1.5,4.26,6.49,45.0,2014/2015
D1,2014-11-29,Schalke 04,Mainz,4,1,H,14,22,9,10,16,12,2,5,2,1,0,0,1.95,3.7,3.75,1.95,3.7,4.21,1.99,3.8,4.33,1.93,3.56,3.93,45.0,2014/2015
D1,2014-11-29,Werder Bremen,Paderborn,4,0,H,24,15,13,4,18,18,9,6,2,1,0,0,2.2,3.5,3.25,2.28,3.6,3.29,2.3,3.65,3.5,2.2,3.44,3.24,45.0,2014/2015
D1,2014-11-30,Ein Frankfurt,Dortmund,2,0,H,11,17,3,6,15,22,1,8,2,2,0,0,5.0,4.33,1.62,5.42,4.45,1.64,5.7,4.45,1.67,5.11,4.24,1.61,45.0,2014/2015
D1,2014-11-30,Wolfsburg,M'gladbach,1,0,H,23,10,12,2,13,12,9,5,0,2,0,0,1.91,3.75,3.8,1.93,3.82,4.18,2.0,3.9,4.25,1.91,3.62,3.93,44.0,2014/2015
D1,2014-12-05,Dortmund,Hoffenheim,1,0,H,19,6,6,1,20,12,8,3,1,4,0,0,1.5,4.6,6.0,1.52,4.87,6.4,1.6,5.1,7.0,1.51,4.56,5.99,45.0,2014/2015
